# wavenumber (cm-1)	etalon position (steps)
2.886668e+03	6.019761e+03
2.887607e+03	6.029972e+03
2.888684e+03	6.042188e+03
2.889873e+03	6.053630e+03
2.891736e+03	6.075991e+03
2.892979e+03	6.087414e+03
2.894784e+03	6.107134e+03
2.896308e+03	6.123596e+03
2.898422e+03	6.144645e+03
2.900880e+03	6.169136e+03
2.902859e+03	6.192055e+03
2.905353e+03	6.221052e+03
2.908380e+03	6.263119e+03
2.916431e+03	6.370863e+03
2.918987e+03	6.403497e+03
2.922286e+03	6.441021e+03
2.924199e+03	6.464428e+03
2.927161e+03	6.508488e+03
2.930049e+03	6.545962e+03
2.932303e+03	6.582381e+03
2.933564e+03	6.609557e+03
2.935979e+03	6.649118e+03
2.938006e+03	6.686205e+03
2.939496e+03	6.711530e+03
2.941641e+03	6.756087e+03
2.942819e+03	6.777532e+03
2.944715e+03	6.827579e+03
2.945918e+03	6.853082e+03
2.948180e+03	6.906544e+03
2.949001e+03	6.932684e+03
