# etalon position (steps)	motor position (mm)	wavenumber (cm-1)	wavenumber error (cm-1)	power (watts)
6.0000000000e+03	7.6858014233e+00	2.9712589620e+03	3.6621093750e-04	8.8036068400e-01
6.0000000000e+03	8.1915102722e+00	3.0149945940e+03	1.9301011109e-04	1.0434888150e+00
6.0000000000e+03	8.5695283383e+00	3.0582076755e+03	2.8300837694e-04	9.7200914850e-01
6.0000000000e+03	9.0695284285e+00	3.1026571045e+03	2.7806186388e-03	1.0763427100e+00
6.0050000000e+03	7.6918835105e+00	2.9717270525e+03	3.3430331879e-04	9.8667146450e-01
6.0050000000e+03	8.1955796116e+00	3.0156409700e+03	2.9271432637e-04	9.1514809700e-01
6.0050000000e+03	8.5736584743e+00	3.0599340140e+03	2.3241495074e-04	1.0999099350e+00
6.0050000000e+03	9.0757797696e+00	3.1026563790e+03	1.3647875839e-03	9.5381772300e-01
6.0100000000e+03	7.6948792312e+00	2.9723188135e+03	4.4434264461e-04	8.6938708700e-01
6.0100000000e+03	8.1996745643e+00	3.0159997460e+03	1.8310546875e-04	9.2040911950e-01
6.0100000000e+03	8.5844623769e+00	3.0601875100e+03	6.1491216063e-04	1.0992746000e+00
6.0100000000e+03	9.0762824130e+00	3.1037515040e+03	1.9406876337e-03	1.0736770350e+00
6.0150000000e+03	7.7006630837e+00	2.9729654760e+03	3.5589305999e-04	8.8119248450e-01
6.0150000000e+03	8.2045318230e+00	3.0164128295e+03	2.7634842341e-04	9.5343605300e-01
6.0150000000e+03	8.5887536092e+00	3.0602008430e+03	2.7969822357e-04	1.0957638450e+00
6.0150000000e+03	9.0880302723e+00	3.1038652880e+03	2.6952395222e-04	9.6250555450e-01
6.0200000000e+03	7.7059337897e+00	2.9730006610e+03	3.4526698300e-04	8.2281508750e-01
6.0200000000e+03	8.2083868850e+00	3.0169702870e+03	2.2837264324e-04	9.5945287050e-01
6.0200000000e+03	8.5897160465e+00	3.0612488865e+03	4.2334822104e-03	1.0926244800e+00
6.0200000000e+03	9.0973027073e+00	3.1038638580e+03	3.4255896485e-04	9.5676478500e-01
6.0250000000e+03	7.7102067361e+00	2.9736469915e+03	2.8628025878e-04	8.7792416900e-01
6.0250000000e+03	8.2111790140e+00	3.0173287975e+03	2.7295751678e-04	9.0376760300e-01
6.0250000000e+03	8.6036567997e+00	3.0613455730e+03	1.2168824486e-03	1.1269360900e+00
6.0250000000e+03	9.1020723951e+00	3.1046011720e+03	5.3209215619e-04	9.9220366050e-01
6.0300000000e+03	7.7176301430e+00	2.9742047910e+03	2.3638814369e-04	9.4622306550e-01
6.0300000000e+03	8.2173830974e+00	3.0182649945e+03	2.3241495074e-04	1.0291806550e+00
6.0300000000e+03	8.6055362564e+00	3.0666770095e+03	5.1380420342e+00	1.0385844500e+00
6.0300000000e+03	9.1026989267e+00	3.1051575380e+03	6.0575662968e-04	9.8653810550e-01
6.0350000000e+03	7.7257279970e+00	2.9750293160e+03	3.0210861013e-04	9.3254409450e-01
6.0350000000e+03	8.2214227753e+00	3.0187664415e+03	2.1143198335e-04	1.0053603070e+00
6.0350000000e+03	8.6145778163e+00	3.0652763210e+03	6.6493011668e+00	1.0986778200e+00
