# motor (mm)	wavenumber (cm-1)
7.700000e+03	2.973419e+03
7.720000e+03	2.975547e+03
7.740000e+03	2.977252e+03
7.760000e+03	2.978439e+03
7.780000e+03	2.981002e+03
7.800000e+03	2.983230e+03
7.820000e+03	2.984763e+03
7.840000e+03	2.986502e+03
7.860000e+03	2.988013e+03
7.880000e+03	2.989870e+03
7.900000e+03	2.991575e+03
7.920000e+03	2.992803e+03
7.940000e+03	2.993975e+03
7.960000e+03	2.995486e+03
7.980000e+03	2.997275e+03
8.020000e+03	3.000007e+03
8.060000e+03	3.002517e+03
8.080000e+03	3.004657e+03
8.100000e+03	3.006854e+03
8.120000e+03	3.008104e+03
8.140000e+03	3.010426e+03
8.160000e+03	3.011658e+03
8.180000e+03	3.014548e+03
8.200000e+03	3.017175e+03
8.220000e+03	3.020228e+03
8.240000e+03	3.021940e+03
8.260000e+03	3.024652e+03
8.280000e+03	3.026987e+03
8.300000e+03	3.031301e+03
8.320000e+03	3.034281e+03
8.340000e+03	3.036079e+03
