r0	 6	1	    0 0 0 0 1A1	    0 0 1 0 1F2	    0A1  1     	    1A2  3     
r1f1	 6	1	    0 0 0 0 1A1	    0 0 1 0 1F2	    1F1  1     	    2F2 10     
r0v2v4	 6	1	    0 0 0 0 1A1	    0 1 0 1 1F2	    0A1  1     	    1A2  2     
v3s3e	 6	1	    0 0-1 0 1X 	    0 0-1 0 1X 	    3E   0     	    2E   1     
nh3j0k0	11	1	 0000 00 0 A2` 	 1000 00 0 A1' 	 0  0 a A1'A2` 	 1  0 s A2'A2' 
nh3j1k0	11	1	 0000 00 0 A1' 	 1000 00 0 A2` 	 1  0 s A2'A2' 	 0  0 a A1'A2` 
nh3j2k0	11	1	 0000 00 0 A2` 	 1000 00 0 A1' 	 2  0 a A1'A2` 	 1  0 s A2'A2' 
nh3j3k3la	11	1	 0000 00 0 A2` 	 1000 00 0 A1' 	 3  3 a A1`A2' 	 3  3 s A2`A2` 
nh3j3k3ls	11	1	 0000 00 0 A1' 	 1000 00 0 A2` 	 3  3 s A2`A2` 	 3  3 a A1`A2' 
nh3j4k3la	11	1	 0000 00 0 A2` 	 1000 00 0 A1' 	 4  3 a A1`A2' 	 4  3 s A2`A2` 
nh3j4k3ls	11	1	 0000 00 0 A1' 	 1000 00 0 A2` 	 4  3 s A2`A2` 	 4  3 a A1`A2' 
nh3j3k0	11	1	 0000 00 0 A1' 	 1000 00 0 A2` 	 3  0 s A2'A2' 	 4  0 a A1'A2` 
nh3j4k0	11	1	 0000 00 0 A2` 	 1000 00 0 A1' 	 4  0 a A1'A2` 	 5  0 s A2'A2' 
